date,Temperature,Rain,Wd,Ws,Pres,RH,dew point Max,dew point Avg,dew point Min,Classes
2022-08-27,29.2,0,140,7.9,1010.8,77.2,23,21.3,20,1
2022-08-28,29.6,0,153,8.5,1012.4,78,23,21.5,20,0
2022-08-29,30.1,0,184,8.1,1014.3,77.3,24,21.7,20,0
2022-08-30,34.1,0,194,10.2,1015.3,59.2,24,20.3,16,1
2022-08-31,31.2,0,125,7.9,1016.5,,,,,0
2022-09-01,32.5,0,120,5.8,1014.7,,,,,1
2022-09-02,35.2,0,173,8.1,1012.5,,,,,0
2022-09-03,33.6,0,164,6.7,1013.4,49.7,20,16.7,3,0
2022-09-04,36,1,190,11,1014.8,62.7,23,19.6,17,0
2022-09-05,30.7,0,149,8.4,1017.5,72.3,24,21.4,19,0
2022-09-06,33.9,0,163,9.4,1017.4,64.5,22,19.4,15,0
2022-09-07,33.1,0,131,13.9,1013.9,63.6,25,21.1,13,0
2022-09-08,32.1,0,127,13.6,1013.8,59.6,24,18.8,12,1
2022-09-09,30,0.5,165,9.8,1016.3,66.7,23,18.4,13,1
2022-09-10,29.3,0,163,9,1017.4,72.9,23,19.4,14,0
2022-09-11,29.7,0,173,9.5,1015.3,73.7,23,19.8,17,0
2022-09-12,33.8,0,235,10,1011.9,56.7,22,16.8,12,1
2022-09-13,38.4,0,196,10.4,1009.7,40.7,20,14.3,11,1
2022-09-14,35.4,0,216,10.8,1010.2,85,25,24,23,1
2022-09-15,31,0,126,8.2,1012.3,70.4,23,20.8,16,1
2022-09-16,29.3,0,270,8,1012.3,62.3,19,17.4,14,0
2022-09-17,28.9,0,100,11,1011.6,70.5,22,19,16,0
2022-09-18,28.4,0,71,15,1013.1,74.2,21,20.6,20,0
2022-09-19,29.2,0,105,10.6,1012.2,77.1,23,21,19,0
2022-09-20,27.4,0,66,8.4,1015.6,68.8,21,19.2,17,0
2022-09-21,26.9,0,172,9.4,1016.1,72.3,20,17.5,16,0
2022-09-22,26,10.9,288,7,1015.4,76.6,20,17.7,14,0
2022-09-23,26.1,2,205,9.4,1017,71.9,19,16.6,14,0
2022-09-24,35,0,236,15.2,1012.7,53.8,21,13.9,8,1
2022-09-25,30.5,0,254,22.6,1010,48.5,21,14.1,11,0
2022-09-26,29.9,0,240,15.3,1010.6,70.3,20,17.6,16,0
2022-09-27,30,3,264,10.7,1012.8,58.1,19,13.4,10,0
2022-09-28,31,0,253,11.5,1011.5,50.3,16,11,7,1
2022-09-29,30.4,0,220,13.5,1006.9,53,17,11.8,7,1
2022-09-30,28,1.2,262,11,1010.1,71.3,16,14.3,8,1
2022-10-01,24,3,189,9.3,1023.6,75.2,16,14.9,14,0
2022-10-02,26.3,0,207,10.2,1025.6,75,24,16.3,14,1
2022-10-03,25.7,0,151,8,1020.1,77.1,19,17.3,15,0
2022-10-04,26,3,196,9.8,1019.3,82.3,21,18.9,16,0
2022-10-05,26.7,6.3,238,12.9,1021.7,77.3,18,16.5,15,0
2022-10-06,27.6,0.7,237,12.7,1023,67.8,17,15.7,14,0
2022-10-07,27.8,1.1,246,13.5,1020.6,64.6,16,14.6,13,0
2022-10-08,29,0,233,16.8,1016.6,63.8,19,15.5,14,0
2022-10-09,28,0.5,254,18.5,1016.2,67.5,19,16.1,13,0
2022-10-10,27,0,214,14.9,1015.9,67.8,20,16.1,14,0
2022-10-11,26.2,0,208,12.1,1016.3,71,19,15.8,5,0
2022-10-12,25,5.5,203,8,1017.3,76.5,19,17.4,16,0
2022-10-13,26,0,98,7.3,1021.1,78.8,20,18.5,17,0
2022-10-14,24.2,0,192,9.2,1021.8,78.5,19,16.9,14,0
2022-10-15,26,0,223,12.2,1017.5,71.7,18,15.4,14,1
2022-10-16,30,0,221,15.9,1017.4,62.2,20,15.3,12,1
2022-10-17,27,0,218,8.2,1021.8,71.4,21,16.9,14,0
2022-10-18,29,0,222,13,1023,65,22,16,13,0
2022-10-19,28,0,235,12.9,1019.9,60.3,20,14.3,10,0
2022-10-20,32,0,236,14,1016.5,50.4,19,11.6,8,1
2022-10-21,30,0,236,16.5,1016.9,50.7,20,13,8,1
2022-10-22,35,0,236,18,1017.9,37.9,19,10.4,8,1
2022-10-23,35,0,236,16,1019.3,35.5,17,8.1,1,1
2022-10-24,33,0,251,16.7,1020.1,32.4,15,6.3,2,1
2022-10-25,32,0,248,16,1019.6,36.7,16,6.6,3,1
2022-10-26,32.5,0,245,15.8,1019.9,40,17,7.6,4,1
2022-10-27,30,0,235,15.7,1022.9,34.3,13,5.8,4,1
2022-10-28,26,0,218,14.3,1023.3,46.2,18,8.1,3,1
2022-10-29,24,0,223,12.1,1020.5,60.6,18,10.5,5,1
2022-10-30,25,0,206,11.9,1018.9,65.3,20,11.8,5,1
2022-10-31,24,0,218,9.4,1019.7,67.8,18,12.2,7,1
2021-06-01,27.4,0.5,132,8,1011.5,76.1,20,18.7,17,0
2021-06-02,24,0,99,12.5,1014,82.5,20,18.7,17,0
2021-06-03,24,0,88,8.2,1016.5,86.5,21,19.1,17,0
2021-06-04,31,1.6,182,12.9,1019,77.2,21,18.8,13,0
2021-06-05,26,0.1,92,9.6,1017.7,80.2,21,19.3,17,0
2021-06-06,23,4.5,97,8.3,1019.9,84.7,20,18.6,18,0
2021-06-07,24,0,122,7.7,1021,81.3,19,17.7,16,0
2021-06-08,25,0,165,10,1019.7,78.4,19,16.5,14,0
2021-06-09,26,0,167,8.6,1019.8,67.4,18,15.1,10,0
2021-06-10,28,0,159,10.5,1018.6,65.7,19,14,9,0
2021-06-11,26,0,165,8.9,1016.3,66,19,15,12,0
2021-06-12,25.1,0,127,9,1017.6,72.7,20,16.3,12,0
2021-06-13,26,0,113,8.6,1018.5,76.3,21,17.2,11,0
2021-06-14,26.7,0,189,9.2,1016.6,75,21,17.9,13,0
2021-06-15,28,0,20,7.2,1014.9,61.3,19,15.6,12,0
2021-06-16,32,0,171,12.1,1010.4,66.3,21,17.4,13,1
2021-06-17,30,0,52,8.9,1011.6,70.6,20,19,18,0
2021-06-18,29,0,106,8.4,1013.6,72.3,21,17.8,11,0
2021-06-19,27,0,128,15.5,1012.8,76.8,21,20.3,18,1
2021-06-20,27.6,0,107,10.3,1013.3,71.6,21,18.3,14,0
2021-06-21,27.5,0,146,8.8,1012.3,60.6,18,14.8,11,0
2021-06-22,27,0,140,8.9,1013.2,62.2,18,14.7,10,0
2021-06-23,26,0,147,7.5,1015.5,71.2,19,16.5,13,0
2021-06-24,26.4,0.1,91,8.5,1018.1,80.2,21,19.1,17,0
2021-06-25,26,1.3,65,9.6,1017.5,79.1,21,19.9,19,0
2021-06-26,26.2,0.3,58,8.7,1014.1,83.1,22,20.6,20,0
2021-06-27,26.3,0.2,125,7.2,1013.5,79.3,21,19.9,18,0
2021-06-28,26,0,167,8.7,1013.9,81.5,22,19.8,18,0
2021-06-29,27,0,96,7.7,1014.6,79.7,22,20.6,17,0
2021-06-30,28,0,75,10.2,1015.6,79.4,22,21.3,21,0
2021-07-01,27,0,77,7.9,1015.9,79.8,22,20.6,19,1
2021-07-02,29,0,160,9,1015.7,78.8,22,20.3,18,0
2021-07-03,28,0,153,9.2,1014.8,71.5,23,19,-6,0
2021-07-04,30.8,0,150,10.5,1014,62.6,22,18.1,15,1
2021-07-05,28.2,0,144,9.3,1014,75.8,23,20.3,16,0
2021-07-06,31,0,144,10.7,1011.1,59.6,24,18.7,13,0
2021-07-07,34.2,0,188,11.4,1013.3,53.4,20,15.9,12,1
2021-07-08,28.2,0.7,64,10.8,1017.9,75.5,23,21.5,15,0
2021-07-09,27,0.9,69,13.8,1019.5,78,23,21.4,20,0
2021-07-10,28.4,0,121,8.9,1016.1,80.3,22,20.9,19,1
2021-07-11,29,0,168,9.2,1014.1,78.8,24,21.7,20,0
2021-07-12,32.6,0,138,13.6,1011,58.6,23,19.2,7,1
2021-07-13,31,3.6,65,12.2,1014,67.9,22,19.7,16,0
2021-07-14,27,0.5,67,9,1017.6,70.9,19,18.3,17,0
2021-07-15,27,0.4,84,12.2,1016.6,70.5,20,18.5,17,0
2021-07-16,27,0,68,10.2,1017.7,68.5,20,18.8,17,0
2021-07-17,27.3,0,153,9.4,1017.2,70.2,19,17.5,16,0
2021-07-18,27.2,0,133,10.2,1013.9,68.8,19,17.3,15,0
2021-07-19,28,0,154,8.9,1012.9,66,21,17.4,6,0
2021-07-20,28.1,0,144,9,1014.4,72.6,21,18.8,16,0
2021-07-21,30,0,153,8.8,1017.1,70.4,23,19.1,16,1
2021-07-22,30,0,215,10.1,1015.5,62.3,23,18,9,1
2021-07-23,32,0,175,11.2,1012,60.8,26,18.9,12,1
2021-07-24,42,0,227,13.4,1008.6,41,23,15.6,6,1
2021-07-25,32.2,0,131,6.8,1008.6,50.8,22,17.6,12,1
2021-07-26,29,0,106,10.5,1011.4,70.4,23,21,17,0
2021-07-27,29,0,56,9,1013.6,72.6,23,21.2,19,0
2021-07-28,30,0,152,11.4,1011.6,79.6,24,22.4,20,1
2021-07-29,30,0,127,7.9,1012.6,77.1,25,22.5,19,1
2021-07-30,39,0,89,10.6,1012,78.2,26,23.3,7,0
2021-07-31,39,0,157,15.7,1010.1,53.7,24,18.6,6,0
2021-08-01,30,0,80,10.3,1013,65.1,23,20,9,0
2021-08-02,29,0,73,10.1,1013,75.1,23,21.5,19,0
2021-08-03,30,0.7,48,7.1,1012.3,77.6,24,22.3,20,0
2021-08-04,29,0.3,358,6.7,1014,80.2,24,22.4,19,0
2021-08-05,29,0.1,135,8.8,1014.4,77.9,24,21.2,18,1
2021-08-06,31,0,175,12.4,1009.7,67.1,24,19.3,16,1
2021-08-07,31,0,162,11.8,1007.4,56.7,23,17.8,14,1
2021-08-08,29.2,0,106,9.9,1012.1,70.8,25,20.1,13,0
2021-08-09,29.3,0,156,9,1013.2,79.3,25,23,20,1
2021-08-10,47,0,133,13.3,1012.9,68.5,26,20.5,0,1
2021-08-11,40,0,194,12.3,1014.7,56.5,26,18.9,11,1
2021-08-12,38.6,0,189,13.2,1015.5,48.4,22,18.1,9,1
2021-08-13,32,0,170,12.5,1017.9,57.4,27,17.7,5,1
2021-08-14,31,0,162,8.5,1017.8,66,26,19.6,12,1
2021-08-15,32,0,179,10.3,1015.2,58.5,25,18.5,11,1
